Team,League,Year,RS,RA,W,G,Playoffs
TEX,AL,2012,808,707,93,162,1
TEX,AL,2011,855,677,96,162,1
TEX,AL,2010,787,687,90,162,1
TEX,AL,2009,784,740,87,162,0
TEX,AL,2008,901,967,79,162,0
TEX,AL,2007,816,844,75,162,0
TEX,AL,2006,835,784,80,162,0
TEX,AL,2005,865,858,79,162,0
TEX,AL,2004,860,794,89,162,0
TEX,AL,2003,826,969,71,162,0
TEX,AL,2002,843,882,72,162,0
TEX,AL,2001,890,968,73,162,0
TEX,AL,2000,848,974,71,162,0
TEX,AL,1999,945,859,95,162,1
TEX,AL,1998,940,871,88,162,1
TEX,AL,1997,807,823,77,162,0
TEX,AL,1996,928,799,90,163,1
TEX,AL,1993,835,751,86,162,0
TEX,AL,1992,682,753,77,162,0
TEX,AL,1991,829,814,85,162,0
TEX,AL,1990,676,696,83,162,0
TEX,AL,1989,695,714,83,162,0
TEX,AL,1988,637,735,70,161,0
TEX,AL,1987,823,849,75,162,0
TEX,AL,1986,771,743,87,162,0
TEX,AL,1985,617,785,62,161,0
TEX,AL,1984,656,714,69,161,0
TEX,AL,1983,639,609,77,163,0
TEX,AL,1982,590,749,64,162,0
TEX,AL,1980,756,752,76,163,0
TEX,AL,1979,750,698,83,162,0
TEX,AL,1978,692,632,87,162,0
TEX,AL,1977,767,657,94,162,0
TEX,AL,1976,616,652,76,162,0
TEX,AL,1975,714,733,79,162,0
TEX,AL,1974,690,698,83,161,0
TEX,AL,1973,619,844,57,162,0
NYY,AL,2012,804,668,95,162,1
NYY,AL,2011,867,657,97,162,1
NYY,AL,2010,859,693,95,162,1
NYY,AL,2009,915,753,103,162,1
NYY,AL,2008,789,727,89,162,0
NYY,AL,2007,968,777,94,162,1
NYY,AL,2006,930,767,97,162,1
NYY,AL,2005,886,789,95,162,1
NYY,AL,2004,897,808,101,162,1
NYY,AL,2003,877,716,101,163,1
NYY,AL,2002,897,697,103,161,1
NYY,AL,2001,804,713,95,161,1
NYY,AL,2000,871,814,87,161,1
NYY,AL,1999,900,731,98,162,1
NYY,AL,1998,965,656,114,162,1
NYY,AL,1997,891,688,96,162,1
NYY,AL,1996,871,787,92,162,1
NYY,AL,1993,821,761,88,162,0
NYY,AL,1992,733,746,76,162,0
NYY,AL,1991,674,777,71,162,0
NYY,AL,1990,603,749,67,162,0
NYY,AL,1989,698,792,74,161,0
NYY,AL,1988,772,748,85,161,0
NYY,AL,1987,788,758,89,162,0
NYY,AL,1986,797,738,90,162,0
NYY,AL,1985,839,660,97,161,0
NYY,AL,1984,758,679,87,162,0
NYY,AL,1983,770,703,91,162,0
NYY,AL,1982,709,716,79,162,0
NYY,AL,1980,820,662,103,162,1
NYY,AL,1979,734,672,89,160,0
NYY,AL,1978,735,582,100,163,1
NYY,AL,1977,831,651,100,162,1
NYY,AL,1976,730,575,97,159,1
NYY,AL,1975,681,588,83,160,0
NYY,AL,1974,671,623,89,162,0
NYY,AL,1973,641,610,80,162,0
NYY,AL,1971,648,641,81,162,0
NYY,AL,1970,680,612,93,163,0
NYY,AL,1969,562,587,80,162,0
NYY,AL,1968,536,531,83,164,0
NYY,AL,1967,522,621,72,163,0
NYY,AL,1966,611,612,70,160,0
NYY,AL,1965,611,604,77,162,0
NYY,AL,1964,730,577,99,164,1
NYY,AL,1963,714,547,104,161,1
NYY,AL,1962,817,680,96,162,1