Branch,Component,Gender,abdominalextensiondepthsitting,acromialheight,acromionradialelength,anklecircumference,axillaheight,balloffootcircumference,balloffootlength,biacromialbreadth,bicepscircumferenceflexed,bicristalbreadth,bideltoidbreadth,bimalleolarbreadth,bitragionchinarc,bitragionsubmandibulararc,bizygomaticbreadth,buttockcircumference,buttockdepth,buttockheight,buttockkneelength,buttockpopliteallength,calfcircumference,cervicaleheight,chestbreadth,chestcircumference,chestdepth,chestheight,crotchheight,crotchlengthomphalion,crotchlengthposterioromphalion,earbreadth,earlength,earprotrusion,elbowrestheight,eyeheightsitting,footbreadthhorizontal,footlength,forearmcenterofgriplength,forearmcircumferenceflexed,forearmforearmbreadth,forearmhandlength,functionalleglength,handbreadth,handcircumference,handlength,headbreadth,headcircumference,headlength,heelanklecircumference,heelbreadth,hipbreadth,hipbreadthsitting,iliocristaleheight,interpupillarybreadth,interscyei,interscyeii,kneeheightmidpatella,kneeheightsitting,lateralfemoralepicondyleheight,lateralmalleolusheight,lowerthighcircumference,mentonsellionlength,neckcircumference,neckcircumferencebase,overheadfingertipreachsitting,palmlength,poplitealheight,radialestylionlength,shouldercircumference,shoulderelbowlength,shoulderlength,sittingheight,sleevelengthspinewrist,sleeveoutseam,span,suprasternaleheight,tenthribheight,thighcircumference,thighclearance,thumbtipreach,tibialheight,tragiontopofhead,trochanterionheight,verticaltrunkcircumferenceusa,waistbacklength,waistbreadth,waistcircumference,waistdepth,waistfrontlengthsitting,waistheightomphalion,wristcircumference,wristheight,weight_kg,stature_m,BMI,BMI_class,Height_class
0,Combat Support,Regular Army,Female,231,1282,301,204,1180,222,177,373,315,263,466,65,338,301,141,1011,223,836,587,476,360,1336,274,922,245,1095,759,557,310,35,65,16,220,713,91,246,316,265,517,432,1028,75,182,184,141,548,191,314,69,345,388,966,645,363,399,435,496,447,55,404,118,335,368,1268,113,362,235,1062,327,148,803,809,513,1647,1280,1013,622,174,736,430,110,844,1488,406,295,850,217,345,942,152,756,65.7,1.56,26.997041420118343,Overweight,Normal
1,Combat Service Support,Regular Army,Female,194,1379,320,207,1292,225,178,372,272,250,430,64,294,270,126,893,186,900,583,483,350,1440,261,839,206,1234,835,549,329,32,60,23,208,726,91,249,341,247,468,463,1117,78,187,189,138,535,180,307,60,315,335,1048,595,340,375,483,532,492,69,334,115,302,345,1389,110,426,259,1014,346,142,835,810,575,1751,1372,1107,524,152,771,475,125,901,1470,422,254,708,168,329,1032,155,815,53.4,1.665,19.262505748992233,Normal,Normal
2,Combat Service Support,Regular Army,Female,183,1369,329,233,1271,237,196,397,300,276,450,69,309,270,128,987,204,861,583,466,384,1451,287,874,223,1226,821,643,374,36,65,26,204,790,100,265,343,262,488,469,1060,84,198,195,146,588,207,331,70,356,399,1043,655,345,399,470,530,469,64,401,135,325,369,1414,122,398,258,1049,362,164,904,855,568,1779,1383,1089,577,164,814,458,129,882,1542,419,269,727,159,367,1035,162,799,66.3,1.711,22.647147535406233,Normal,Tall
3,Combat Service Support,Regular Army,Female,261,1356,306,214,1250,240,188,384,364,276,484,68,340,294,144,1012,253,897,599,471,372,1430,269,1008,285,1170,804,640,351,38,62,22,244,775,97,265,331,309,529,455,1069,80,192,186,153,593,206,332,68,337,402,1029,655,392,435,469,520,478,67,402,118,357,386,1329,115,394,250,1121,333,157,875,815,536,1708,1358,1065,679,187,736,463,125,866,1627,451,302,923,235,371,999,173,818,78.2,1.66,28.37857453912034,Overweight,Normal
4,Combat Arms,Regular Army,Female,309,1303,308,214,1210,217,182,378,320,336,525,67,300,295,135,1281,284,811,607,467,433,1362,305,1089,290,1112,726,686,356,34,65,18,233,732,88,247,339,260,596,447,1039,78,183,187,140,522,181,308,63,448,499,964,635,428,435,440,491,441,63,479,114,340,358,1350,116,345,242,1151,329,156,824,810,559,1702,1292,1030,766,197,766,429,116,800,1698,452,405,1163,300,380,911,152,762,88.6,1.572,35.85325900459051,Overweight,Normal
5,Combat Service Support,Regular Army,Female,272,1428,326,228,1326,229,201,356,342,283,470,67,335,297,147,1085,279,946,656,526,396,1485,285,1031,301,1275,864,634,363,35,61,15,233,755,93,270,358,297,509,491,1145,78,188,198,146,570,194,333,70,358,409,1080,705,372,380,478,542,495,63,423,126,354,379,1412,124,401,271,1094,348,136,860,847,592,1777,1414,1141,674,196,803,474,127,922,1666,466,333,968,255,367,1053,159,844,83.7,1.707,28.724892744956925,Overweight,Tall
6,Combat Service Support,Regular Army,Female,261,1352,306,223,1246,232,172,358,320,284,466,65,308,275,134,1049,238,853,609,493,373,1405,278,988,271,1184,778,603,322,33,60,17,253,760,93,241,310,267,519,418,1094,77,183,167,146,582,197,304,60,365,408,1009,595,425,423,445,497,455,62,374,117,338,365,1240,100,387,238,1072,331,141,876,792,525,1608,1360,1045,650,182,719,443,128,866,1618,456,344,964,258,368,971,154,814,73.2,1.644,27.083666329230827,Overweight,Normal
7,Combat Service Support,Regular Army,Female,229,1383,327,205,1281,234,194,365,337,310,476,66,317,296,136,1095,248,917,616,491,373,1428,294,968,250,1190,803,613,340,34,57,19,251,771,100,255,321,280,553,440,1081,82,192,177,143,551,185,308,66,382,438,1027,645,392,397,470,521,473,57,391,109,349,386,1398,107,394,250,1066,353,136,881,815,574,1701,1368,1091,675,177,778,464,132,875,1605,445,338,914,220,404,1004,155,814,76.0,1.671,27.218280943514543,Overweight,Normal
8,Combat Service Support,Regular Army,Female,213,1237,308,193,1135,208,175,355,283,238,427,60,296,260,131,965,210,818,560,464,345,1293,236,831,214,1083,753,570,327,33,55,21,185,685,85,234,313,246,457,422,1014,74,177,174,143,562,184,295,60,332,401,948,610,320,364,425,478,437,63,340,114,318,340,1233,110,371,230,994,328,144,797,763,527,1605,1232,992,592,161,695,419,117,798,1405,387,269,755,199,319,932,143,714,54.5,1.521,23.557981379252812,Normal,Small
9,Combat Service Support,Regular Army,Female,281,1301,278,208,1194,221,178,323,290,291,435,60,297,285,133,1045,249,824,554,432,367,1360,292,1010,273,1075,750,583,325,34,53,19,283,754,92,245,309,253,500,417,980,82,195,175,146,528,176,293,62,354,409,958,595,399,393,429,473,433,67,386,107,341,362,1284,102,349,233,985,305,125,857,719,490,1540,1293,1019,604,172,740,421,115,824,1564,445,338,944,233,370,922,151,811,68.4,1.59,27.055891776432894,Overweight,Normal
10,Combat Service Support,Regular Army,Female,274,1395,318,245,1291,245,196,406,408,274,517,74,340,306,147,1248,280,881,655,508,453,1462,297,1065,294,1205,810,701,404,38,66,30,249,784,98,270,357,329,596,499,1117,87,208,210,146,614,213,342,72,427,487,1041,690,392,412,472,541,479,60,460,122,378,422,1453,124,386,270,1174,343,161,902,881,573,1833,1408,1110,740,195,804,470,129,892,1735,427,326,935,240,399,1036,180,819,99.0,1.707,33.975679590809264,Overweight,Tall
11,Combat Service Support,Regular Army,Female,284,1360,331,220,1260,235,181,387,316,295,485,66,344,306,133,1014,239,885,595,485,358,1425,304,1034,259,1218,822,615,345,33,61,18,215,768,98,260,353,267,511,473,1101,80,185,186,152,598,210,333,70,339,388,1023,585,400,425,470,523,474,65,378,112,378,405,1398,115,394,272,1110,355,146,873,864,600,1774,1362,1097,600,177,800,464,127,899,1598,432,323,942,248,388,1003,160,775,74.2,1.668,26.66931203238848,Overweight,Normal
12,Combat Service Support,Regular Army,Female,279,1368,342,206,1252,218,170,384,334,296,497,65,315,295,129,1049,242,873,600,489,375,1417,298,1063,279,1201,781,650,351,35,67,17,204,766,89,234,317,277,557,434,1105,75,180,178,144,540,182,295,60,367,413,1014,585,390,399,464,515,474,63,386,108,346,386,1329,112,385,242,1145,368,140,862,860,570,1722,1348,1077,623,162,769,451,110,874,1635,430,361,995,244,340,1001,159,788,78.1,1.654,28.548284982797924,Overweight,Normal
13,Combat Service Support,Regular Army,Female,214,1368,325,220,1258,240,193,418,320,284,497,68,327,280,146,1012,214,854,605,497,373,1430,293,937,240,1189,801,649,382,32,64,17,214,754,93,263,336,286,539,459,1054,83,203,190,145,553,185,321,65,359,403,1033,660,392,440,462,511,463,64,385,121,366,392,1405,115,388,254,1151,354,166,874,874,565,1798,1353,1079,606,168,806,451,127,865,1587,430,307,848,200,351,1017,167,797,71.8,1.666,25.868690813660397,Overweight,Normal
14,Combat Service Support,Regular Army,Female,265,1315,320,194,1218,225,177,365,339,279,486,65,313,282,135,1000,240,855,593,480,375,1379,280,989,267,1164,772,588,325,33,63,23,220,727,88,238,324,277,525,442,1052,80,190,178,147,586,194,308,64,338,397,978,675,400,412,464,503,464,66,377,112,354,379,1331,114,380,249,1116,343,142,834,804,548,1690,1314,1037,639,177,769,450,122,846,1554,464,319,929,244,388,956,150,755,70.9,1.599,27.729964123136686,Overweight,Normal
15,Combat Support,Regular Army,Female,225,1371,312,223,1265,234,183,367,285,283,441,68,303,270,128,1007,210,830,583,468,362,1429,275,940,246,1212,786,620,332,35,61,24,237,774,95,249,321,258,469,440,1054,81,193,177,148,572,198,313,63,358,410,1018,565,328,365,457,508,460,67,388,116,337,369,1276,108,391,246,1013,340,133,883,795,540,1657,1358,1078,619,177,719,448,123,848,1593,462,300,835,217,363,989,162,825,67.2,1.673,24.009183512693603,Normal,Normal
16,Combat Service Support,Regular Army,Female,193,1337,307,218,1237,237,185,371,296,271,462,69,305,274,128,969,211,826,568,463,377,1408,270,835,214,1171,765,601,364,35,58,21,270,786,92,257,329,264,513,445,998,82,192,187,150,568,190,312,60,337,374,978,575,350,381,449,500,448,71,377,121,331,370,1373,118,391,245,1055,333,149,899,805,538,1687,1323,1048,564,173,717,434,122,833,1565,458,278,772,185,351,970,162,801,62.0,1.647,22.856224395038133,Normal,Normal
17,Combat Support,Regular Army,Female,201,1387,302,197,1286,215,188,365,264,256,434,63,313,277,132,941,195,866,596,493,338,1440,261,897,246,1228,833,570,352,32,58,19,231,754,85,256,327,250,458,448,1086,75,178,186,148,568,195,315,64,329,377,1038,590,355,370,474,523,479,63,369,114,315,339,1346,114,406,245,967,329,132,871,770,540,1670,1376,1097,569,153,755,470,115,882,1529,428,284,805,200,364,1022,149,834,59.5,1.678,21.131632669006894,Normal,Normal
18,Combat Service Support,Regular Army,Female,233,1374,342,211,1281,232,184,393,335,270,491,68,332,283,135,1011,238,919,623,515,382,1422,296,979,251,1211,835,630,317,36,58,21,189,736,97,253,345,276,533,469,1099,79,188,187,146,592,206,310,65,344,408,1054,650,400,419,479,542,490,65,403,123,335,364,1391,114,413,264,1128,366,148,853,866,593,1797,1365,1102,647,175,778,473,123,899,1515,411,308,868,214,340,1019,155,789,74.1,1.679,26.285534690698,Overweight,Normal
19,Combat Service Support,Regular Army,Female,214,1309,294,209,1213,213,173,359,290,261,428,61,290,271,127,1021,216,807,556,440,379,1375,270,853,206,1166,733,649,366,33,59,21,265,783,88,235,300,248,461,420,983,72,171,175,141,532,185,284,56,362,411,964,630,361,390,434,481,435,64,390,114,317,361,1338,107,358,232,1011,318,141,886,775,517,1603,1308,1050,615,165,703,424,113,813,1541,435,288,792,178,353,960,150,787,60.5,1.615,23.195851584890107,Normal,Normal
20,Combat Support,Regular Army,Female,325,1239,278,217,1145,231,172,342,336,306,502,65,303,267,131,1107,283,770,568,446,413,1280,308,1090,309,1055,664,599,265,31,57,19,270,720,94,233,296,290,575,409,1024,75,180,169,144,560,195,305,63,358,439,882,575,434,414,394,447,405,64,386,112,341,382,1300,105,325,225,1119,298,133,830,777,500,1539,1225,953,695,191,707,385,117,739,1639,478,373,1137,318,388,837,160,759,80.0,1.517,34.76312623056035,Overweight,Small
