,train-auc-mean,train-auc-std,test-auc-mean,test-auc-std
0,0.8975683,0.0009093306384368,0.8928996,0.0082582394758205
1,0.9069851,0.0026114510698077,0.9011617,0.007518845670048
2,0.9136785,0.0014034790522127,0.9079096,0.0077526112529908
3,0.9191233,0.0009208806708797,0.91213,0.0071454083718147
4,0.9228642,0.001096840170672,0.9149616,0.0067060110676914
5,0.9264109,0.0012994761598428,0.9177445,0.0064941814765218
6,0.9304612,0.0011490998912192,0.9208305,0.0065564452296957
7,0.9332919,0.0012145817757565,0.922861,0.0069975315361918
8,0.9363104,0.0010966128031351,0.9247704,0.006658755517362
9,0.9392983,0.001157247860227,0.9267467,0.0058966599706952
10,0.9414314,0.0012022088171361,0.9281461,0.0057301236016337
11,0.9434991,0.001276918905021,0.9291893,0.0061366548713448
12,0.9454071,0.0014203021826357,0.9297804,0.0062410859183318
13,0.9470468,0.0014323539227439,0.9305494,0.0062235649944384
14,0.9489481,0.0010420424607471,0.9312658,0.0058956528527381
15,0.9506241,0.0011867739843794,0.9319117,0.0057502263616313
16,0.9521352,0.0017914209890475,0.9326587,0.0053795311515038
17,0.9530996,0.0019451645277456,0.933071,0.0052461220344174
18,0.9548689,0.0018529827549116,0.9339882,0.004913621878004
19,0.9569325999999998,0.0020473483435898,0.9354803,0.005744013353919
20,0.9587923,0.0018039644148374,0.9355132000000002,0.0062692663175207
21,0.9603467,0.0016188755387613,0.9364621,0.0064946103262628
22,0.9616977,0.0014307403013824,0.9372701999999998,0.0059190078695673
23,0.963249,0.0013816184712141,0.938065,0.0059995038794886
24,0.9646418,0.0017625947804302,0.9382684,0.0058703187852109
25,0.9659797,0.0018142783716949,0.9385416999999998,0.00570970339072
26,0.9670807,0.0016479988501209,0.9389243,0.0057535177422164
27,0.9683345,0.0009669473874001,0.9392997,0.0056656929858579
28,0.9693729999999998,0.0013543620638514,0.9396169,0.0056669048068588
29,0.9702674,0.0013022874644255,0.9399035,0.0056685707413774
30,0.9709713999999998,0.0011476377651506,0.9401704,0.0058843509446667
31,0.9716671,0.0012022016844107,0.9405621,0.0056239901929146
32,0.9724932,0.0011507052446217,0.940976,0.0056630052445675
33,0.973096,0.001321250695364,0.9410445,0.0058302945937576
34,0.9738823,0.0013445495937301,0.9415891,0.0056027629335891
35,0.9746992,0.0012076279890761,0.9418416,0.0051698746832007
36,0.9753076,0.0011526397702664,0.9417009,0.0052732262126709
37,0.9761762,0.0011107059736942,0.9420452,0.0053127853109268
38,0.9769892,0.0009926385847829,0.9420402,0.0052057477618494
39,0.9775422,0.0008307066630285,0.9421982,0.0050457206185043
40,0.9784067,0.0009391001064849,0.9424449,0.0048092850705692
41,0.9789648,0.0009979249270361,0.9426958,0.004913237869267
42,0.979542,0.0009950643195291,0.9429551,0.0050617761398544
43,0.9801715,0.0010272741844318,0.942876,0.0050608985565806
44,0.9808394,0.0010341185812081,0.942974,0.0049237447537418
45,0.9814103,0.0010504302023456,0.9432068,0.004868394269161
46,0.9818214,0.0011778045848102,0.9433808,0.0049704319691551
47,0.9822867,0.0011464083085881,0.9434909,0.005012631294041
48,0.9827685,0.0009594706092424,0.9435453,0.00507701032203
49,0.983138,0.0009260971871245,0.943593,0.0052178704468394
50,0.9835999,0.0009133303290704,0.9436695,0.0052942504521414
51,0.9839641,0.0008545254179952,0.943669,0.0052599052272831
52,0.9844336,0.0009210178282747,0.943674,0.0050734602196134
53,0.9848641,0.000822482151782,0.9435354,0.0049509871581332
54,0.9851049,0.0008306642462511,0.9436575,0.0052547377527332
55,0.985404,0.0007031780713304,0.9438263,0.0053938143840885
56,0.9856254,0.0007292966748861,0.9439535,0.0052292644654865
57,0.9859826000000002,0.0008215719323345,0.9440029,0.0052221418871953
58,0.9864904,0.000872891081407,0.9441294,0.0055608372247351
59,0.9868408,0.0007944860980533,0.9445323,0.0055934681021705
60,0.987233,0.0008271297358939,0.9445304,0.0052515838601321
61,0.9874881,0.0008484930700954,0.9446068,0.005086964100522
62,0.9878031,0.0008387909691931,0.9446663999999998,0.0051589298153783
63,0.988239,0.0008229355989383,0.9450479,0.0050722835380132
64,0.9885727,0.0008158626171114,0.9451445,0.0050111325915405
65,0.9888213,0.000854890291207,0.945084,0.004962061829522
66,0.9890521,0.0008243351806152,0.9451474,0.0048593815902849
67,0.9893262,0.000672462013797,0.9451477,0.0049744227413841
68,0.9896273,0.0006131777964016,0.9452571,0.004901983974882
69,0.9898205,0.0006752260732524,0.945192,0.0048534792056833
70,0.9901096,0.0006777198831375,0.9454781,0.0046839898473416
71,0.9903131,0.0006992107622169,0.9453588,0.0046885891651967
72,0.9905787,0.0007151427899378,0.9451503000000002,0.0046401880791623
73,0.9909046,0.0006604689546072,0.9450852,0.004828182738878
74,0.9911856,0.0006719573200732,0.9451672,0.0049456984703881
75,0.9914094,0.0006247998399487,0.9451874,0.0050932177687587
76,0.991607,0.0006351454951426,0.9451072,0.0052864850855743
77,0.9918774,0.0006854482037324,0.9448841,0.0053277610391232
78,0.9920687,0.0007407098014742,0.9449727,0.0052606796528585
79,0.9922281,0.0007105215619528,0.9450921999999998,0.0051654946094251
80,0.9925347,0.0007559693181604,0.9449715,0.0051824938253701
81,0.9927381,0.000754040244284,0.944901,0.0052547250736836
82,0.9928963,0.0007723262328834,0.9448607,0.0052919315008794
83,0.9930575,0.0007852755248955,0.9448126000000002,0.0052844074823957
84,0.9932891,0.0006773993578384,0.9450058999999996,0.0053980870398688
85,0.9934934,0.000647870542624,0.9450345,0.0055665970080471
86,0.9936652,0.0006212527344004,0.9451318999999998,0.0056760406526028
87,0.9938538999999998,0.0005708219424654,0.9450629,0.005765045541017
88,0.9939934,0.000520104835586,0.9450754,0.0057152372514183
89,0.9941423,0.0004835336699755,0.9452093,0.0055580301375577
90,0.9942837,0.0004965799130049,0.9452172,0.005470391591102
91,0.9944186000000002,0.0005063262189537,0.9452477,0.0055043941183385
92,0.9945555,0.000463152512678,0.9453116,0.0054597865562675
93,0.9946987,0.0004129576370525,0.9451712,0.0054659885803027
94,0.9948249,0.0004304714740839,0.9452868,0.0055552550400499
95,0.9949906,0.000408882428089,0.9453395,0.0055346195217015
96,0.9951498,0.0003605597869979,0.9452884,0.0055248557483431
97,0.9952582,0.0003769811135852,0.945383,0.005421865453882
98,0.9953218,0.0003842454423932,0.9453854,0.0053334607188953
99,0.9954503,0.0004028004592847,0.9454881,0.0052865270915791
100,0.9955415,0.0003977105102961,0.9455107,0.0052954456856812
101,0.9956275,0.0004259331520321,0.9454943,0.0052760568050391
102,0.9957215,0.0004615138676139,0.9454841,0.0052668824830254
103,0.9958198,0.0004468713013832,0.9454614,0.0052013816087651
104,0.995912,0.000466259369879,0.9454873,0.0052414877859248
105,0.9959983,0.0004871334622051,0.9452831000000002,0.005322816931851
106,0.9961038,0.0004738208100115,0.9452807000000002,0.0052282957462255
107,0.9961799,0.0005060404035252,0.9454448,0.0051545907849217
108,0.996304,0.0004893193231418,0.9453844,0.0052270755341777
109,0.9964232999999998,0.0004322610438149,0.945365,0.0051406007820098
110,0.9965157,0.0004027138065673,0.9453167,0.0051938555630668
111,0.9966357,0.0003796382620337,0.9452598,0.0051169198703907
112,0.9967274000000002,0.0003610474207081,0.9452205,0.0051116899015883
113,0.9968042,0.0003602209877283,0.9452333,0.0050575402331568
114,0.9969168,0.0003202785662513,0.945332,0.0050477723799711
115,0.9970146,0.000310111012381,0.9453508,0.0050228422392107
116,0.9971016,0.0003156276920677,0.9453713,0.004899898530582
117,0.9971789,0.0003034018622223,0.9454694,0.0049791625842103
118,0.9972475,0.0003005492472124,0.9454319,0.0050140413929284
119,0.9973103,0.0002876626670251,0.9454285,0.0049883882216603
120,0.9974067,0.0002699918702479,0.9455175,0.0049565832838761
121,0.9974712,0.0002522981569492,0.9455558,0.0049108232670296
122,0.9975189,0.0002335146462215,0.9455637,0.0049721720816962
123,0.997576,0.0002382704345906,0.9455522,0.0049351109977385
124,0.9976301,0.0002317910481446,0.94557,0.0048105930403641
125,0.9976781,0.0002118383581884,0.9453967,0.0047110668441447
126,0.9977208,0.0002125035529114,0.9453607,0.004724573272794
127,0.9977795,0.0002166274451679,0.9453349,0.0046357597532659
128,0.9978222,0.0002122436335912,0.9453167,0.0046565727321711
129,0.9978701,0.0001925556802589,0.9452988,0.0045385516808779
130,0.9979167,0.0001911889379645,0.9452748,0.0044935047301632
131,0.997989,0.000212,0.9452819,0.0045441693289312
132,0.9980462,0.0002043701543768,0.945314,0.0045562574115166
133,0.9980802,0.0002022601295361,0.945338,0.0045058661986348
134,0.9981247,0.0002093838819011,0.9453546,0.0046095159876065
135,0.9981732,0.0002032194872545,0.9454275,0.004533084297694
136,0.9982131,0.000201354140757,0.9453345,0.0046162541795269
137,0.9982551999999998,0.0002284766071176,0.9453226,0.0046511026262597
138,0.9983293,0.0002349812971281,0.9453102,0.0047003266226933
139,0.9983882000000002,0.0002075325516636,0.9452386,0.0046270206223875
140,0.9984534,0.0001900885057019,0.9451809,0.0046673277461519
141,0.9984905000000002,0.0001754207798409,0.9450765,0.004792955940753
142,0.9985143,0.0001783412739665,0.9450763,0.004847653495249
143,0.9985355,0.0001758216425813,0.9450471,0.0049204576098163
144,0.9985819,0.0001502940118567,0.9450630000000002,0.0049672235101714
145,0.9986205,0.0001380972483433,0.9450968,0.0049217775000501
146,0.9986414,0.0001410760078822,0.9450999,0.0048926916406002
147,0.9986716,0.0001492328382093,0.9450197,0.0048999061633871
148,0.9987026,0.0001438681340672,0.9450066,0.0048814808654751
149,0.9987364,0.000137425761777,0.9449571,0.004880004025613
150,0.9987562999999998,0.0001425230156852,0.9449253,0.0048199400421582
151,0.9987832,0.0001399534208227,0.9448532,0.0048355593637137
152,0.9988353,0.0001358462734122,0.9448987,0.0049141354692356
153,0.9988526,0.0001353737049799,0.9448183,0.0049061246427297
154,0.9988902,0.0001532317199538,0.9448045,0.004888785253005
155,0.9989089,0.0001544068975143,0.944828,0.0049248380480986
156,0.9989481999999998,0.0001479532358551,0.9447971999999998,0.0049705165486094
157,0.9989597,0.0001492240262156,0.9448557,0.0049227412495478
158,0.9989805,0.0001530302257725,0.9448072,0.0049699525108395
159,0.9990041000000002,0.0001382869842031,0.9448001,0.0048386430215505
160,0.9990283,0.0001331458223152,0.9446997,0.0048241525483757
161,0.9990444,0.0001276434095439,0.9447583,0.0048693473700281
162,0.9990705,0.0001133739388042,0.9447562000000002,0.0048454988556391
163,0.9991029,0.0001047630182841,0.9446452,0.0047826402289948
164,0.999129,9.980280557178538e-05,0.9446848,0.0047910963213026
165,0.999148,9.388929651456528e-05,0.9445583,0.0049180876781529
166,0.9991705,9.445025145545848e-05,0.9445548,0.0049827074327116
167,0.9992094,8.918654607057825e-05,0.9445461,0.0049647958155396
168,0.9992253000000002,8.510470022272522e-05,0.9444624,0.0048841670569299
169,0.9992477,7.82304927761519e-05,0.9445055,0.0049755744442224
170,0.9992631,7.699149303655458e-05,0.9445377,0.0049790663592685
171,0.9992733,7.470080320853222e-05,0.9445485999999998,0.0049675917545627
172,0.9992895,6.727295147382132e-05,0.9445492,0.0049322673041918
173,0.9993178,6.88168583996758e-05,0.9445586,0.0049345365375078
174,0.9993438,5.870400327064469e-05,0.9446017,0.0048971928704105
175,0.999365,6.362860991723652e-05,0.9445687,0.004874836080321
176,0.9993844,5.788989549135818e-05,0.9445067,0.0049230411139863
177,0.9993935,5.845553865972515e-05,0.9445029,0.0049869797964298
178,0.9994044,6.02149483101976e-05,0.9445147,0.0050526042008057
179,0.9994168,6.466343634543869e-05,0.9445373,0.0050068392834202
180,0.9994416,5.937036297680565e-05,0.944426,0.004944190550535
181,0.9994513,5.8930552347667394e-05,0.9443396,0.0050022321657436
182,0.9994723,6.255405662305326e-05,0.9442988,0.00500974575802
183,0.9994944,5.8527258606567927e-05,0.9442788,0.0049713248696901
184,0.999508,5.183820984562708e-05,0.9442966,0.0049694939017972
185,0.9995184,4.989829656411646e-05,0.9442974,0.004926988617807
186,0.9995307,5.001209853624558e-05,0.9443019,0.0047493249509798
187,0.9995468,4.6168820647704735e-05,0.944285,0.0047619543046946
188,0.999565,5.1882559690126014e-05,0.9442572,0.0048366194351013
189,0.9995716,5.245035748211043e-05,0.9442215,0.0047898636567234
190,0.9995819,5.196816333100795e-05,0.9442378,0.0047952660781233
191,0.9995887,5.082528898099024e-05,0.9442081,0.0048327063732446
192,0.9995936,5.242365878113429e-05,0.9442317,0.0048911374556436
193,0.9996064999999998,5.215218116244252e-05,0.9442467,0.0048624135375346
194,0.9996135,5.336899849162625e-05,0.9441871,0.0047523972361325
195,0.9996249,5.885142309238632e-05,0.9442663,0.0047663876478943
196,0.9996396,5.938552012064623e-05,0.9442828,0.0047412678430984
197,0.9996511,5.9683247230685486e-05,0.9442463,0.0047722980219177
198,0.9996612,5.46805266982661e-05,0.944212,0.0048455367298164
199,0.9996708,5.041388697571534e-05,0.9442398999999998,0.0047860522865927
200,0.9996771,5.169999999999579e-05,0.9441811,0.0048283417122237
201,0.9996888,5.0938786793552747e-05,0.9442501,0.0047681141020323
202,0.9996941,5.124929267805786e-05,0.9442082,0.0047691700913261
203,0.9997014,5.173045524640693e-05,0.9442147,0.0047352888412429
204,0.9997098,5.053276165023223e-05,0.9442627,0.004741105779246
205,0.9997194,5.337639927910074e-05,0.9441947,0.0047119606333245
206,0.9997265,5.32151294276581e-05,0.9442128,0.0046560833497694
207,0.9997302,5.393106711351069e-05,0.9442177,0.0046485361792719
208,0.9997379,5.6434829671056265e-05,0.9441835,0.0046448387108703
209,0.9997443,5.6256644052061145e-05,0.9441228,0.004585992887042
210,0.9997565,5.879158102993376e-05,0.9440997,0.0046908575772453
211,0.9997648,5.879761899940317e-05,0.9441352000000002,0.0047323568504498
212,0.9997718,6.117810065699983e-05,0.9441147,0.0048040441515456
213,0.9997744,6.12408360491601e-05,0.9441551,0.0048713347339307
214,0.9997829,6.389749603856655e-05,0.9441585,0.0048585731084342
215,0.9997899,6.15019511885536e-05,0.9441881999999998,0.0048613122467087
216,0.9997979,6.176155762283354e-05,0.9442284999999998,0.0048614733414881
217,0.9998041,5.599723207443441e-05,0.9442231,0.004853825593282
218,0.9998087,5.619617424700612e-05,0.944218,0.0048862481721664
219,0.9998176999999998,4.923017367426592e-05,0.9442692,0.0048341367336888
220,0.9998212,5.038213969255886e-05,0.9442072,0.0048553904848117
221,0.9998279,4.759296166452587e-05,0.9441497,0.0048042670419118
222,0.9998324,4.615452307195229e-05,0.9440576,0.0048616802486383
223,0.9998379,4.332770476266797e-05,0.9440344,0.0049399542548489
224,0.999843,4.07234576135176e-05,0.9439630999999998,0.0049788400747563
225,0.9998468,3.879639158477978e-05,0.943949,0.0049745232535389
226,0.9998543000000002,3.550225344959684e-05,0.9439606,0.0049572550711053
227,0.9998585,3.660122948753705e-05,0.9439578999999998,0.0048682990756526
228,0.9998625,3.473110997362444e-05,0.9440229,0.004949433067534
229,0.9998665,3.2888447819854645e-05,0.9439509,0.0050043725370919
230,0.9998702,3.04065782356459e-05,0.9440148,0.0049948382916767
231,0.999875,3.0219199195224748e-05,0.9439773,0.0049496370584114
232,0.9998793,2.9769279467276973e-05,0.9438692,0.0049699341001667
233,0.999881,2.9883105594982707e-05,0.9437861,0.0049751625591532
234,0.9998851,2.719724250726255e-05,0.9437814999999998,0.004983949944572
235,0.9998894,2.6982216365582027e-05,0.9436978,0.0049642681192699
236,0.999892,2.6593232221739645e-05,0.9436497,0.0049141571210127
237,0.9998943,2.672470766911444e-05,0.9436247,0.0049320027787907
238,0.9998979,2.7027578507888943e-05,0.9436,0.0049336497038196
239,0.9999028,2.8294169010595216e-05,0.9436523999999998,0.0049109763021216
240,0.9999045,2.854557759095093e-05,0.9436464,0.0048996149277264
241,0.9999078,2.8134676113299918e-05,0.9436409,0.0048370823530306
242,0.9999093,2.7982315844121006e-05,0.9436407,0.0048441027662509
243,0.9999118,2.797069895444841e-05,0.9436294,0.0047994560775154
244,0.9999149,2.6549764594068583e-05,0.9436426,0.0047885247247978
245,0.9999155,2.752907553841953e-05,0.9436243,0.0048911985657914
246,0.9999183,2.8089321814527864e-05,0.9436302,0.004895885819747
247,0.9999205,2.6934179029642263e-05,0.9435688,0.0048010937253921
248,0.9999230999999998,2.7127292529844027e-05,0.9436017,0.0047837563493555
249,0.9999251,2.5641567814778348e-05,0.9435852999999998,0.0047879100670334
250,0.9999267,2.566729436462301e-05,0.9435641,0.0048132256637311
251,0.9999304999999998,2.479616905894337e-05,0.9436001,0.0047986973951271
252,0.9999326,2.457315608546221e-05,0.9435974,0.0047644275668751
253,0.9999344,2.3954957733209723e-05,0.9435604,0.0047230726270088
254,0.9999372,2.383191137950013e-05,0.9434503,0.0046832113778901
255,0.99994,2.4223955085835928e-05,0.9435091,0.0045505426148977
256,0.9999418,2.331866205424306e-05,0.9435269000000002,0.0044851140331099
257,0.9999438000000002,2.3059921942608245e-05,0.9435149,0.0045247810212208
258,0.9999454,2.3290341345715808e-05,0.9435536999999998,0.0045349315772126
259,0.9999461,2.3244139046212295e-05,0.9435807,0.0045334210713323
260,0.9999476,2.3593219364893684e-05,0.943623,0.0045606168880974
261,0.9999491,2.398937264705931e-05,0.9435407,0.0045040107471008
262,0.9999504,2.417519389786829e-05,0.9434723000000002,0.004507906788078
263,0.9999522,2.446139816117224e-05,0.9436248,0.0045226403748253
264,0.9999534,2.4808063205339614e-05,0.9436342,0.0046231614680865
265,0.9999538999999998,2.499779990319482e-05,0.943697,0.0046611367497639
266,0.9999555,2.5652485259718297e-05,0.9437287,0.0046685464986438
